Date,USLB,CLTL,STPP,INDU,DTYL,PPTY,EFU,NIQ,FLCO,FAB,HVT,UCHF,EVLMC,FCBP,FLMB
2018-01-02,29.427509307861328,100.55337524414062,30.75,9.739999771118164,77.11000061035156,,22.289766311645508,11.918807983398438,22.47390937805176,54.31117630004883,19.74208641052246,26.540000915527344,49.65764236450195,,23.48142433166504
2018-01-03,29.403972625732425,100.55337524414062,30.75,9.739999771118164,77.11000061035156,,22.289766311645508,12.020129203796387,22.520376205444336,54.425254821777344,19.61191940307617,26.209999084472656,49.65764236450195,,23.48142433166504
2018-01-04,29.52733039855957,100.55337524414062,30.75,9.73900032043457,77.11000061035156,,22.289766311645508,12.020129203796387,22.524028778076172,54.52032089233398,19.8288631439209,26.209999084472656,49.65764236450195,,23.48142433166504
2018-01-05,29.507551193237305,100.62400817871094,30.75,9.73900032043457,77.11000061035156,,21.54743194580078,11.983283996582033,22.52129554748535,54.61538314819336,20.08919906616211,26.209999084472656,49.65764236450195,21.65972900390625,23.48142433166504
2018-01-08,29.672346115112305,100.62400817871094,30.75,9.73900032043457,77.11000061035156,,21.54743194580078,12.00170612335205,22.52493476867676,54.83403396606445,19.30819320678711,26.209999084472656,49.71726608276367,21.65972900390625,23.48142433166504
2018-01-09,29.64409828186035,100.62400817871094,30.75,9.73900032043457,77.11000061035156,,21.31978416442871,11.928021430969238,22.44748306274414,54.58685684204102,19.351585388183594,26.209999084472656,49.65764236450195,21.65972900390625,23.48142433166504
2018-01-10,29.573471069335934,100.63357543945312,30.75,9.6899995803833,77.11000061035156,,21.31978416442871,11.872753143310547,22.45203971862793,54.577354431152344,19.568531036376953,26.209999084472656,49.71726608276367,21.65972900390625,23.48142433166504
2018-01-11,29.61019515991211,100.6431121826172,30.75,9.760000228881836,77.11000061035156,,21.31978416442871,11.851510047912598,22.45203971862793,55.41394424438477,20.523094177246094,26.209999084472656,49.71726608276367,21.65972900390625,23.48142433166504
2018-01-12,29.752389907836914,100.6431121826172,30.75,9.739999771118164,77.11000061035156,,20.765506744384766,11.777608871459961,22.45203971862793,55.79419708251953,20.783432006835934,26.209999084472656,49.71726608276367,21.65972900390625,23.36906433105469
2018-01-16,29.629972457885746,100.6431121826172,30.75,9.739999771118164,77.11000061035156,,20.765506744384766,11.833033561706545,22.552276611328125,55.2523193359375,20.17597770690918,26.209999084472656,49.71726608276367,21.65972900390625,23.36906433105469
