Date,High,Low,Open,Close,Volume,Adj Close
2018-01-02,181.77000427246094,179.9600067138672,179.9600067138672,181.66000366210938,124000.0,177.3655242919922
2018-01-03,182.5,181.99000549316406,181.99000549316406,182.3800048828125,40600.0,178.0685272216797
2018-01-04,183.07000732421875,181.60000610351562,182.97000122070312,182.4499969482422,52300.0,178.13685607910156
2018-01-05,183.88999938964844,182.8800048828125,183.11000061035156,183.88999938964844,38200.0,179.5428009033203
2018-01-08,184.16000366210938,183.72000122070312,183.9199981689453,184.13999938964844,50400.0,179.78689575195312
2018-01-09,184.77999877929688,183.97999572753906,184.6999969482422,184.2899932861328,29100.0,179.93333435058594
2018-01-10,184.64999389648438,183.47000122070312,183.75999450683594,184.64999389648438,13300.0,180.2848358154297
2018-01-11,187.69000244140625,185.0,185.0,187.69000244140625,17000.0,183.25296020507812
2018-01-12,190.25,188.0399932861328,188.0399932861328,190.07000732421875,27100.0,185.5767059326172
2018-01-16,191.67999267578125,188.92999267578125,191.13999938964844,189.1999969482422,41900.0,184.72726440429688
2018-01-17,190.55999755859375,189.4199981689453,190.05999755859375,190.1999969482422,16100.0,185.70364379882812
2018-01-18,190.72999572753906,189.89999389648438,190.2100067138672,190.36000061035156,11500.0,185.85986328125
2018-01-19,191.88999938964844,190.67999267578125,191.72000122070312,191.88999938964844,30900.0,187.35369873046875
2018-01-22,193.9199981689453,191.85000610351562,191.94000244140625,193.91000366210938,11400.0,189.32594299316406
2018-01-23,195.47000122070312,194.33999633789062,194.69000244140625,195.3000030517578,19900.0,190.6830596923828
2018-01-24,196.69000244140625,194.08999633789062,195.8000030517578,195.61000061035156,24600.0,190.98574829101562
2018-01-25,196.3000030517578,194.94000244140625,196.3000030517578,195.75,14500.0,191.1224365234375
2018-01-26,197.49000549316406,195.83999633789062,196.33999633789062,197.4600067138672,28200.0,192.79202270507812
2018-01-29,198.52999877929688,197.1300048828125,197.4499969482422,197.6199951171875,25400.0,192.94822692871094
2018-01-30,196.69000244140625,195.13999938964844,195.85000610351562,196.25999450683594,26400.0,191.62037658691406
2018-01-31,197.47000122070312,195.02999877929688,197.05999755859375,195.39999389648438,26000.0,190.7807159423828
2018-02-01,195.5800018310547,193.0500030517578,194.08999633789062,193.3800048828125,51100.0,188.80845642089844
2018-02-02,195.17999267578125,191.11000061035156,194.2100067138672,191.13999938964844,31700.0,186.6213836669922
2018-02-05,191.52000427246094,183.60000610351562,189.3000030517578,184.4499969482422,36500.0,180.08958435058594
2018-02-06,188.6199951171875,179.91000366210938,180.77999877929688,188.3800048828125,145200.0,183.9266815185547
2018-02-07,190.7899932861328,188.11000061035156,188.2100067138672,188.27000427246094,41100.0,183.8192596435547
2018-02-08,188.3000030517578,180.6699981689453,188.3000030517578,180.6699981689453,27300.0,176.39892578125
2018-02-09,182.9199981689453,175.22999572753906,182.2100067138672,181.27999877929688,59200.0,176.9944610595703
2018-02-12,184.61000061035156,181.64999389648438,183.0800018310547,183.61000061035156,34400.0,179.26943969726562
2018-02-13,185.22000122070312,182.97999572753906,182.97999572753906,185.02999877929688,21900.0,180.65582275390625
2018-02-14,187.91000366210938,184.08999633789062,184.08999633789062,187.4600067138672,17900.0,183.02841186523438
2018-02-15,189.44000244140625,187.0399932861328,188.60000610351562,189.38999938964844,26100.0,184.9127655029297
2018-02-16,190.6699981689453,188.99000549316406,189.00999450683594,189.38999938964844,144200.0,184.9127655029297
2018-02-20,189.5800018310547,187.55999755859375,188.14999389648438,187.61000061035156,15700.0,183.17486572265625
2018-02-21,189.97999572753906,187.94000244140625,188.5800018310547,187.94000244140625,13000.0,183.49705505371094
2018-02-22,188.82000732421875,187.02000427246094,187.9600067138672,187.24000549316406,11200.0,182.8135986328125
2018-02-23,189.8800048828125,187.7899932861328,188.38999938964844,189.8800048828125,13000.0,185.39120483398438
2018-02-26,191.4499969482422,190.42999267578125,190.8000030517578,191.35000610351562,32100.0,186.82647705078125
2018-02-27,191.27000427246094,187.86000061035156,191.27000427246094,187.86000061035156,36100.0,183.41896057128906
2018-02-28,189.5399932861328,187.47000122070312,188.83999633789062,187.47000122070312,12800.0,183.03817749023438
2018-03-01,188.05999755859375,183.94000244140625,187.3000030517578,185.47999572753906,34300.0,181.09519958496094
2018-03-02,186.11000061035156,182.86000061035156,183.3699951171875,186.02000427246094,28400.0,181.62245178222656
2018-03-05,188.32000732421875,184.9199981689453,185.25999450683594,187.97000122070312,16500.0,183.52633666992188
2018-03-06,188.88999938964844,187.74000549316406,188.8000030517578,188.88999938964844,15100.0,184.42462158203125
2018-03-07,187.8699951171875,186.83999633789062,187.2100067138672,187.85000610351562,8000.0,183.40919494628906
2018-03-08,188.69000244140625,187.97000122070312,188.5,188.33999633789062,21100.0,183.88760375976562
2018-03-09,191.47999572753906,189.11000061035156,189.52000427246094,191.47999572753906,21500.0,186.95339965820312
2018-03-12,192.4600067138672,191.52000427246094,191.97999572753906,191.9600067138672,13000.0,187.42205810546875
2018-03-13,192.85000610351562,190.2899932861328,192.85000610351562,190.61000061035156,23700.0,186.1039276123047
2018-03-14,191.3800048828125,189.58999633789062,191.3800048828125,189.86000061035156,17100.0,185.37168884277344
2018-03-15,190.6699981689453,189.3300018310547,190.22999572753906,189.67999267578125,29600.0,185.1959228515625
2018-03-16,190.47999572753906,189.6300048828125,189.7100067138672,189.6300048828125,7700.0,185.14707946777344
2018-03-19,188.75,185.92999267578125,188.75,187.0800018310547,32500.0,182.6573944091797
2018-03-20,188.1999969482422,187.42999267578125,187.42999267578125,188.07000732421875,11100.0,183.62399291992188
2018-03-21,188.88999938964844,187.17999267578125,187.75999450683594,187.60000610351562,23300.0,183.16510009765625
2018-03-22,186.1699981689453,183.5500030517578,185.91000366210938,183.6199951171875,25300.0,179.66128540039062
2018-03-23,184.1999969482422,179.97999572753906,183.92999267578125,180.00999450683594,34500.0,176.12911987304688
2018-03-26,185.2100067138672,181.11000061035156,183.1999969482422,185.0399932861328,64300.0,181.05068969726562
2018-03-27,185.9499969482422,180.5399932861328,185.36000061035156,181.49000549316406,59500.0,177.5772247314453
