Date,High,Low,Open,Close,Volume,Adj Close
2018-10-29,12.699999809265137,12.300000190734863,12.399999618530273,12.699999809265137,9500.0,12.699999809265137
2018-10-30,13.399999618530273,12.5,13.399999618530273,13.100000381469727,9700.0,13.100000381469727
2018-10-31,13.0,12.399999618530273,13.0,12.5,23700.0,12.5
2018-11-01,13.300000190734863,12.600000381469727,13.100000381469727,13.300000190734863,4800.0,13.300000190734863
2018-11-02,13.300000190734863,11.899999618530273,12.899999618530273,12.199999809265137,25800.0,12.199999809265137
2018-11-05,13.0,11.600000381469727,13.0,11.899999618530273,11600.0,11.899999618530273
2018-11-06,12.300000190734863,11.699999809265137,11.699999809265137,12.100000381469727,9900.0,12.100000381469727
2018-11-07,12.100000381469727,11.699999809265137,12.100000381469727,11.800000190734863,8700.0,11.800000190734863
2018-11-08,11.899999618530273,11.5,11.800000190734863,11.5,9900.0,11.5
2018-11-09,11.699999809265137,11.399999618530273,11.600000381469727,11.5,17200.0,11.5
2018-11-12,11.5,11.0,11.5,11.0,11600.0,11.0
2018-11-13,11.199999809265137,10.399999618530273,11.199999809265137,10.399999618530273,14300.0,10.399999618530273
2018-11-14,11.0,10.5,10.899999618530273,10.600000381469727,12000.0,10.600000381469727
2018-11-15,10.899999618530273,10.199999809265137,10.800000190734863,10.399999618530273,17900.0,10.399999618530273
2018-11-16,11.0,10.300000190734863,10.5,10.300000190734863,24600.0,10.300000190734863
2018-11-19,10.899999618530273,10.399999618530273,10.899999618530273,10.699999809265137,29600.0,10.699999809265137
2018-11-20,10.699999809265137,10.0,10.699999809265137,10.0,14100.0,10.0
2018-11-21,10.300000190734863,9.899999618530273,10.0,10.0,10400.0,10.0
2018-11-23,10.0,9.5,9.600000381469727,9.699999809265137,5500.0,9.699999809265137
2018-11-26,10.100000381469727,9.800000190734863,9.899999618530273,9.800000190734863,7300.0,9.800000190734863
2018-11-27,9.899999618530273,9.199999809265137,9.800000190734863,9.300000190734863,11600.0,9.300000190734863
2018-11-28,9.699999809265137,9.0,9.199999809265137,9.100000381469727,9800.0,9.100000381469727
2018-11-29,9.399999618530273,8.399999618530273,9.199999809265137,9.0,21900.0,9.0
2018-11-30,9.399999618530273,8.5,9.0,8.899999618530273,11100.0,8.899999618530273
2018-12-03,9.399999618530273,8.600000381469727,8.800000190734863,8.899999618530273,4800.0,8.899999618530273
2018-12-04,9.0,8.199999809265137,9.0,8.199999809265137,12200.0,8.199999809265137
2018-12-06,8.100000381469727,7.5,8.0,7.5,14600.0,7.5
2018-12-07,7.900000095367432,7.199999809265137,7.199999809265137,7.300000190734863,3400.0,7.300000190734863
2018-12-10,7.599999904632568,6.5,7.199999809265137,6.5,36200.0,6.5
2018-12-11,6.800000190734863,6.099999904632568,6.800000190734863,6.099999904632568,21700.0,6.099999904632568
2018-12-12,6.699999809265137,6.0,6.099999904632568,6.599999904632568,86400.0,6.599999904632568
2018-12-13,6.699999809265137,6.099999904632568,6.699999809265137,6.199999809265137,21200.0,6.199999809265137
2018-12-14,6.5,6.099999904632568,6.099999904632568,6.099999904632568,14800.0,6.099999904632568
2018-12-17,6.199999809265137,6.0,6.199999809265137,6.099999904632568,13300.0,6.099999904632568
2018-12-18,6.300000190734863,5.199999809265137,6.300000190734863,5.199999809265137,30000.0,5.199999809265137
2018-12-19,5.400000095367432,5.199999809265137,5.300000190734863,5.199999809265137,8400.0,5.199999809265137
